Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
777,MB6HS,144.812500,,0.000000,,67.0,67.0,023,NN,FM,12.50,,HORSHAM,,,,
778,MB6HU,144.850000,-,144.850000,,67.0,67.0,023,NN,FM,12.50,,HEACHAM  KING'S LYNN,,,,
779,MB6HX,144.825000,,0.000000,,67.0,67.0,023,NN,FM,12.50,,HEXHAM,,,,
780,MB6HZ,144.837500,,0.000000,,67.0,67.0,023,NN,FM,12.50,,STRABANE,,,,
781,MB6IDG,431.087500,,0.000000,,67.0,67.0,023,NN,FM,12.50,,ALEXANDRIA,,,,
782,MB6IEV,431.137500,,0.000000,,67.0,67.0,023,NN,FM,12.50,,EVESHAM,,,,
783,MB6ILB,431.087500,,0.000000,,67.0,67.0,023,NN,FM,12.50,,LADYBANK,,,,
784,MB6ILN,431.112500,,0.000000,,67.0,67.0,023,NN,FM,12.50,,LINCOLN,,,,
785,MB6IMF,431.112500,,0.000000,,67.0,67.0,023,NN,FM,12.50,,FOCHABERS,,,,
786,MB6IOK,431.125000,,0.000000,,67.0,67.0,023,NN,FM,12.50,,ORMSKIRK,,,,
787,MB6IOW,434.475000,,0.000000,,67.0,67.0,023,NN,FM,12.50,,ERITH,,,,
788,MB6IRN,431.075000,,0.000000,,67.0,67.0,023,NN,FM,12.50,,LEYLAND,,,,
789,MB6ISC,433.650000,,0.000000,,67.0,67.0,023,NN,FM,12.50,,READING,,,,
790,MB6ISM,431.087500,,0.000000,,67.0,67.0,023,NN,FM,12.50,,SIDMOUTH,,,,
791,MB6IYL,431.100000,,0.000000,,67.0,67.0,023,NN,FM,12.50,,CHESTER,,,,
792,MB6JD,144.825000,,0.000000,,67.0,67.0,023,NN,FM,12.50,,JEDBURGH,,,,
793,MB6JH,431.125000,-,431.125000,,67.0,67.0,023,NN,FM,12.50,,INSCH,,,,
794,MB6JR,431.200000,-,431.200000,,67.0,67.0,023,NN,FM,12.50,,ST HELENS,,,,
795,MB6JS,144.887500,,0.000000,,67.0,67.0,023,NN,FM,12.50,,STIRLING,,,,
796,MB6KA,144.850000,,0.000000,,67.0,67.0,023,NN,FM,12.50,,KILREA,,,,
797,MB6KD,431.112500,,0.000000,,67.0,67.0,023,NN,FM,12.50,,WIGAN,,,,
798,MB6KG,431.125000,,0.000000,,67.0,67.0,023,NN,FM,12.50,,KIDSGROVE,,,,
